batch,code,strength,size,start,api_code,api_batch,smcc_batch,lactose_batch,starch_batch,api_water,api_total_impurities,api_l_impurity,api_content,api_ps01,api_ps05,api_ps09,lactose_water,lactose_sieve0045,lactose_sieve015,lactose_sieve025,smcc_water,smcc_td,smcc_bd,smcc_ps01,smcc_ps05,smcc_ps09,starch_ph,starch_water,tbl_min_thickness,tbl_max_thickness,fct_min_thickness,fct_max_thickness,tbl_min_weight,tbl_max_weight,tbl_rsd_weight,fct_rsd_weight,tbl_min_hardness,tbl_max_hardness,tbl_av_hardness,fct_min_hardness,fct_max_hardness,fct_av_hardness,tbl_max_diameter,fct_max_diameter,tbl_tensile,fct_tensile,tbl_yield,batch_yield,dissolution_av,dissolution_min,resodual_solvent,impurities_total,impurity_o,impurity_l,tbl_speed_mean,tbl_speed_change,tbl_speed_0_duration,total_waste,startup_waste,weekend,fom_mean,fom_change,SREL_startup_mean,SREL_production_mean,SREL_production_max,main_CompForce mean,main_CompForce_sd,main_CompForce_median,pre_CompForce_mean,tbl_fill_mean,tbl_fill_sd,cyl_height_mean,stiffness_mean,stiffness_max,stiffness_min,ejection_mean,ejection_max,ejection_min,Startup_tbl_fill_maxDifference,Startup_main_CompForce_mean,Startup_tbl_fill_mean,Drug release average (%),Drug release min (%),Residual solvent,Total impurities,Impurity O,Impurity L,Batch Size (tablets),Normalisation factor
58,2,10M,1920000,nov.18,1,9,2,3,2,1.68,0.05,0.05,94.4,1.27,13.62,118.705,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,3.3,3.4,3.4,3.4,108.0,115.0,1.15,1.36,54.88,74.48,50,36.0,67.0,60.76,6.0,6.1,1.561134008,1.865990209,98.388,98.248,90.5,86,0.05,0.05,0.05,0.05,119.8847225,4.583333333,43.22916667,1387.135417,9705,no,28.67419635,9,8.265625,5.718486808,8.5,3.755293088,0.082961656,3.8,0.00015748,5.556052493,0.196043622,1.546265967,65.06246719,140,1,19.01294838,25,11,1.23,3.74375,5.3821875,90.5,86.0,0.05,0.05,0.05,0.05,1920000,19.2
59,2,10M,1920000,nov.18,1,9,2,3,2,1.68,0.05,0.05,94.4,1.27,13.62,118.705,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,3.2,3.4,3.3,3.4,108.0,113.0,0.9,0.87,53.9,71.54,49,37.0,61.0,61.74,6.0,6.1,1.529911328,1.896086826,99.102,99.242,90.83,87,0.05,0.05,0.05,0.05,119.9735106,1.354166667,23.02083333,542.6041667,6302,no,40.0,14,4.154545455,4.732795979,8.3,4.352834113,0.055856964,4.4,0.051308719,5.299812793,0.0335591,1.447958052,55.22690241,110,5,20.61778471,27,17,0.53,3.845454545,5.347272727,90.83,87.0,0.05,0.05,0.05,0.05,1920000,19.2
60,3,20M,960000,nov.18,1,10,2,3,2,2.16,0.05,0.05,94.1,2.42,49.43,158.215,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,4.0,4.1,4.1,4.2,219.0,229.0,1.69,0.96,60.76,68.6,51,32.0,74.0,63.7,8.1,8.1,0.978141416,1.192629289,97.63,97.538,86.33,83,0.07,0.05,0.07,0.05,119.6522246,12.08333333,96.35416667,1906.041667,12420,no,7.346952356,19,6.121674877,6.486809907,9.0,5.965186246,0.382038557,5.9,0.07213467,7.404401862,0.134343956,2.24620702,38.3993553,55,7,200.0469198,293,87,2.71,8.7325,6.3225,86.33,83.0,0.07,0.05,0.07,0.05,960000,9.6
61,24,40M,1100000,nov.18,5,11,2,3,2,1.08,0.2,0.07,95.0,1.36,28.22,144.887,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,5.2,5.3,5.3,5.4,441.0,459.0,1.29,1.07,103.88,119.56,90,60.0,113.0,112.7,10.1,10.1,1.070891851,1.31616134,97.601,97.521,90.33,84,0.05,0.28,0.06,0.09,99.91775984,4.818181818,56.18181818,2005.909091,17215,no,49.99420071,32,11.43880597,5.642805848,8.1,9.465469472,0.129637174,9.5,4.159286814,8.076611083,0.061995166,2.263991791,16.21139046,19,2,51.60646485,60,48,0.9,9.378787879,8.016060606,90.33,84.0,0.05,0.28,0.06,0.09,1100000,11.0
73,23,20M,960000,nov.18,5,119,2,3,2,1.67,0.25,0.08,94.4,1.4,25.09,125.568,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,4.0,4.1,4.1,4.1,223.0,230.0,1.37,0.71,62.72,70.56,52,34.0,68.0,66.64,8.1,8.1,0.99732066,1.278104784,97.491,97.491,91.5,83,0.02,0.32,0.07,0.12,119.9465578,1.666666667,32.8125,1930.520833,17677,no,49.84509039,13,9.063157895,6.039544139,10.6,5.560753077,0.113815067,5.6,0.0,6.979811731,0.060629626,2.317074584,50.42577842,59,31,211.7929037,238,183,1.26,5.592857143,6.591964286,91.5,83.0,0.02,0.32,0.07,0.12,960000,9.6
74,23,20M,960000,nov.18,5,119,2,3,2,1.91,0.24,0.07,94.1,1.45,18.76,115.7,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,4.0,4.1,4.1,4.1,220.0,229.0,1.03,1.16,50.96,70.56,47,35.0,61.0,62.72,8.1,8.1,0.901424442,1.20292215,99.526,99.432,91.5,83,0.02,0.32,0.07,0.12,119.9741015,1.770833333,30.9375,555.5208333,5050,no,69.97181113,10,7.933333333,4.625,8.7,5.25712766,0.112292904,5.3,0.0,6.49043617,0.073176456,2.334400709,56.47304965,64,52,202.9847518,226,178,0.64,5.583333333,6.562777778,91.5,83.0,0.02,0.32,0.07,0.12,960000,9.6
75,23,20M,960000,nov.18,5,156,2,3,2,1.91,0.24,0.07,94.1,1.45,18.76,115.7,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,4.0,4.1,4.1,4.1,223.0,229.0,0.87,0.86,60.76,80.36,51,39.0,63.0,68.6,8.1,8.1,0.978141416,1.315696101,98.766,98.532,90.83,88,0.0,0.23,0.05,0.1,119.9343416,1.354166667,38.54166667,670.5208333,6402,no,69.98150125,12,4.491304348,4.48579627,11.0,5.461370158,0.105312026,5.5,0.0,6.470064562,0.049337878,2.309835007,57.42431851,62,52,208.678264,254,184,0.29,5.168181818,6.321818182,90.83,88.0,0.0,0.23,0.05,0.1,960000,9.6
76,23,20M,960000,nov.18,5,156,2,3,2,1.91,0.24,0.07,94.1,1.45,18.76,115.7,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,4.0,4.1,4.1,4.1,222.0,231.0,1.03,1.07,54.88,78.4,52,39.0,67.0,65.66,8.1,8.1,0.99732066,1.259309125,99.432,99.479,92.17,89,0.0,0.21,0.05,0.09,119.995646,1.145833333,28.95833333,356.3541667,3383,no,69.98124558,9,5.614285714,4.893634424,10.6,5.460561878,0.10728749,5.5,0.0,6.531813656,0.054981483,2.325533428,59.8844239,65,49,211.0192034,245,189,0.48,6.723076923,6.299230769,92.17,89.0,0.0,0.21,0.05,0.09,960000,9.6
62,12,10M,1920000,nov.18,5,12,2,3,2,1.91,0.24,0.07,94.1,1.45,18.76,115.7,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,2.8,2.9,2.9,3.0,111.0,116.0,0.99,0.96,58.8,72.52,55,31.0,64.0,66.64,7.1,7.1,1.701401026,1.992763374,98.578,98.438,98.33,95,0.0,0.24,0.05,0.11,119.9051233,3.645833333,77.91666667,634.5833333,11853,no,29.99475616,38,7.535,2.993786305,4.7,8.158802817,0.099885354,8.2,0.009066901,4.011235915,0.05899362,0.803589789,57.80123239,73,47,152.6367958,219,101,1.5,6.551282051,3.970512821,98.33,95.0,0.0,0.24,0.05,0.11,1920000,19.2
63,12,10M,1920000,nov.18,5,12,2,3,2,1.91,0.24,0.07,94.1,1.45,18.76,115.7,0.05,17,49,81,4.719,0.43,0.33,37.615,126.114,261.773,4.4,2.605,2.8,2.9,2.9,2.9,111.0,116.0,1.0,1.03,52.92,68.6,49,34.0,63.0,60.76,7.1,7.1,1.515793642,1.879584116,97.346,97.254,97.33,93,0.0,0.24,0.05,0.11,119.9196347,7.760416667,111.875,1300.625,6663,yes,29.96445456,13,3.869565217,2.942791842,10.6,7.456021866,0.548689613,7.5,0.016434491,4.018203139,0.060835149,0.834556516,55.73796509,72,50,140.2937753,196,72,0.36,8.565217391,3.873478261,97.33,93.0,0.0,0.24,0.05,0.11,1920000,19.2
